country,variable,percentile,year,value
BE,sptinc992j,p90p100,2007,0.3312
BE,sptinc992j,p90p100,2008,0.321
BE,sptinc992j,p90p100,2009,0.3113
BE,sptinc992j,p90p100,2010,0.3136
BE,sptinc992j,p90p100,2011,0.3105
BE,sptinc992j,p90p100,2012,0.313
BE,sptinc992j,p90p100,2013,0.3161
BE,sptinc992j,p90p100,2014,0.318
BE,sptinc992j,p90p100,2015,0.3181
BE,sptinc992j,p90p100,2016,0.3211
BE,sptinc992j,p90p100,2017,0.3177
BE,sptinc992j,p90p100,2018,0.3274
BE,sptinc992j,p90p100,2019,0.3332
BE,sptinc992j,p90p100,2020,0.3194
BE,sptinc992j,p90p100,2021,0.2961
BE,sptinc992j,p90p100,2022,0.2954
BF,sptinc992j,p90p100,2000,0.5776
BF,sptinc992j,p90p100,2001,0.5562
BF,sptinc992j,p90p100,2002,0.5348
BF,sptinc992j,p90p100,2003,0.5134
BF,sptinc992j,p90p100,2004,0.5112
BF,sptinc992j,p90p100,2005,0.509
BF,sptinc992j,p90p100,2006,0.5068
BF,sptinc992j,p90p100,2007,0.5045
BF,sptinc992j,p90p100,2008,0.5023
BF,sptinc992j,p90p100,2009,0.5001
BF,sptinc992j,p90p100,2010,0.4946
BF,sptinc992j,p90p100,2011,0.4891
BF,sptinc992j,p90p100,2012,0.4836
BF,sptinc992j,p90p100,2013,0.4781
BF,sptinc992j,p90p100,2014,0.4726
BF,sptinc992j,p90p100,2015,0.4916
BF,sptinc992j,p90p100,2016,0.5106
BF,sptinc992j,p90p100,2017,0.5295
BF,sptinc992j,p90p100,2018,0.5484
BF,sptinc992j,p90p100,2019,0.5484
BF,sptinc992j,p90p100,2020,0.5484
BF,sptinc992j,p90p100,2021,0.5484
BF,sptinc992j,p90p100,2022,0.5484
BG,sptinc992j,p90p100,2000,0.3502
BG,sptinc992j,p90p100,2001,0.3622
BG,sptinc992j,p90p100,2002,0.3759
BG,sptinc992j,p90p100,2003,0.3647
BG,sptinc992j,p90p100,2004,0.3579
BG,sptinc992j,p90p100,2005,0.3611
BG,sptinc992j,p90p100,2006,0.3563
BG,sptinc992j,p90p100,2007,0.3431
BG,sptinc992j,p90p100,2008,0.3353
BG,sptinc992j,p90p100,2009,0.3546
BG,sptinc992j,p90p100,2010,0.353
BG,sptinc992j,p90p100,2011,0.3555
BG,sptinc992j,p90p100,2012,0.3753
BG,sptinc992j,p90p100,2013,0.3605
BG,sptinc992j,p90p100,2014,0.3795
BG,sptinc992j,p90p100,2015,0.3908
BG,sptinc992j,p90p100,2016,0.4323
BG,sptinc992j,p90p100,2017,0.4495
BG,sptinc992j,p90p100,2018,0.4494
BG,sptinc992j,p90p100,2019,0.4267
BG,sptinc992j,p90p100,2020,0.4394
BG,sptinc992j,p90p100,2021,0.4421
BG,sptinc992j,p90p100,2022,0.4418
BH,sptinc992j,p90p100,2000,0.5352
BH,sptinc992j,p90p100,2001,0.5336
BH,sptinc992j,p90p100,2002,0.532
BH,sptinc992j,p90p100,2003,0.5304
BH,sptinc992j,p90p100,2004,0.5288
