hdi_rank,country,human_development_index_hdi_value_2022,life_expectancy_at_birth_years_2022,expected_years_of_schooling_years_2022,mean_years_of_schooling_years_2022,gross_national_income_gni_per_capita_2017_ppp_2022,gni_per_capita_rank_minus_hdi_rank_2022,hdi_rank_2021
97,Dominica,0.74,72.981,13.550483850000001,9.1863441,12467.85548,-1,97
98,Tonga,0.739,71.27,16.28749084,10.88028609,6360.178905,34,95
99,Jordan,0.736,74.215,12.62659427,10.44668007,9294.801499,15,98
100,Ukraine,0.734,68.564,13.32800961,11.12330123,11416.2168,3,86
101,Tunisia,0.732,74.263,14.61953746,7.953393173,10296.6496,11,101
102,Marshall Islands,0.731,65.146,16.38606071,12.81836718,6855.234566,28,101
102,Paraguay,0.731,70.475,13.91056957,8.861840248,13161.07522,-9,99
104,Fiji,0.729,68.312,13.84869,10.37096977,11233.65882,0,110
105,Egypt,0.728,70.159,12.91180992,9.84810224,12360.8163,-8,103
106,Uzbekistan,0.727,71.674,11.99291039,11.91114998,8055.910265,16,105
107,Viet Nam,0.726,74.58,13.05294705,8.455348794,10813.98273,0,108
108,Saint Lucia,0.725,71.294,12.71032047,8.576973425,14778.3463,-21,109
109,Lebanon,0.723,74.416,12.05109224,8.602969077,12313.42257,-11,104
110,South Africa,0.717,61.48,14.26364994,11.60696983,13185.56419,-18,105
111,"Palestine, State of",0.716,73.444,13.15474033,9.938480377,6936.258684,18,110
112,Indonesia,0.713,68.25,13.97573724,8.556509972,12045.56544,-12,113
113,Philippines,0.71,72.187,12.78335953,8.971409559,9058.840558,5,118
114,Botswana,0.708,65.913,11.42568016,10.42,14841.57836,-29,124
115,Jamaica,0.706,70.629,12.45977059,9.248188719,9694.522766,-2,114
116,Samoa,0.702,72.598,12.4364,11.36735585,4970.232074,25,112
117,Kyrgyzstan,0.701,70.484,12.99493027,11.96131992,4781.692046,28,116
